Time		Xc		Yc		Zc		Xn		Yn		Zn		Xa		Ya		Za
2280		-6.52895e+06		6.27012e+06		6.27012e+06		-6.53635e+06		6.26192e+06		6.24397e+06		-6.5364e+06		6.26172e+06		6.24396e+06		
2340		-6.85825e+06		6.21042e+06		6.21042e+06		-6.86546e+06		6.20169e+06		6.18318e+06		-6.86551e+06		6.20149e+06		6.18316e+06		
2400		-7.18044e+06		6.14428e+06		6.14428e+06		-7.18742e+06		6.135e+06		6.11594e+06		-7.18747e+06		6.1348e+06		6.11592e+06		
2460		-7.49544e+06		6.07198e+06		6.07198e+06		-7.50215e+06		6.06215e+06		6.04254e+06		-7.5022e+06		6.06193e+06		6.04251e+06		
2520		-7.80317e+06		5.9938e+06		5.9938e+06		-7.80959e+06		5.98339e+06		5.96325e+06		-7.80964e+06		5.98317e+06		5.96323e+06		
2580		-8.10359e+06		5.90999e+06		5.90999e+06		-8.10966e+06		5.89899e+06		5.87834e+06		-8.10971e+06		5.89877e+06		5.87831e+06		
2640		-8.39663e+06		5.82081e+06		5.82081e+06		-8.40233e+06		5.8092e+06		5.78806e+06		-8.40238e+06		5.80897e+06		5.78802e+06		
2700		-8.68227e+06		5.72649e+06		5.72649e+06		-8.68756e+06		5.71427e+06		5.69263e+06		-8.6876e+06		5.71403e+06		5.69259e+06		
2760		-8.96046e+06		5.62726e+06		5.62726e+06		-8.9653e+06		5.61441e+06		5.5923e+06		-8.96534e+06		5.61416e+06		5.59226e+06		
2820		-9.23118e+06		5.52333e+06		5.52333e+06		-9.23553e+06		5.50984e+06		5.48728e+06		-9.23557e+06		5.5096e+06		5.48723e+06		
2880		-9.49441e+06		5.41492e+06		5.41492e+06		-9.49823e+06		5.40079e+06		5.37778e+06		-9.49826e+06		5.40053e+06		5.37772e+06		
2940		-9.75014e+06		5.30224e+06		5.30224e+06		-9.75338e+06		5.28744e+06		5.264e+06		-9.75341e+06		5.28718e+06		5.26394e+06		
3000		-9.99834e+06		5.18546e+06		5.18546e+06		-1.0001e+07		5.16999e+06		5.14614e+06		-1.0001e+07		5.16973e+06		5.14608e+06		
3060		-1.0239e+07		5.06478e+06		5.06478e+06		-1.0241e+07		5.04864e+06		5.02438e+06		-1.0241e+07		5.04836e+06		5.02431e+06		
3120		-1.04722e+07		4.94037e+06		4.94037e+06		-1.04735e+07		4.92354e+06		4.89891e+06		-1.04735e+07		4.92327e+06		4.89883e+06		
3180		-1.06978e+07		4.81241e+06		4.81241e+06		-1.06984e+07		4.79489e+06		4.76988e+06		-1.06984e+07		4.79461e+06		4.7698e+06		
3240		-1.09159e+07		4.68106e+06		4.68106e+06		-1.09157e+07		4.66285e+06		4.63748e+06		-1.09157e+07		4.66256e+06		4.6374e+06		
3300		-1.11264e+07		4.54648e+06		4.54648e+06		-1.11254e+07		4.52757e+06		4.50186e+06		-1.11254e+07		4.52727e+06		4.50177e+06		
3360		-1.13295e+07		4.40883e+06		4.40883e+06		-1.13276e+07		4.38921e+06		4.36318e+06		-1.13276e+07		4.38891e+06		4.36308e+06		
3420		-1.1525e+07		4.26825e+06		4.26825e+06		-1.15222e+07		4.24792e+06		4.22158e+06		-1.15222e+07		4.24762e+06		4.22148e+06		
3480		-1.1713e+07		4.12489e+06		4.12489e+06		-1.17093e+07		4.10385e+06		4.07721e+06		-1.17093e+07		4.10354e+06		4.0771e+06		
3540		-1.18935e+07		3.97888e+06		3.97888e+06		-1.18888e+07		3.95713e+06		3.93021e+06		-1.18888e+07		3.95682e+06		3.9301e+06		
3600		-1.20665e+07		3.83037e+06		3.83037e+06		-1.20608e+07		3.8079e+06		3.78072e+06		-1.20608e+07		3.80759e+06		3.7806e+06		
3660		-1.22321e+07		3.67949e+06		3.67949e+06		-1.22253e+07		3.6563e+06		3.62887e+06		-1.22252e+07		3.65598e+06		3.62875e+06		
